algorithm,test_auc,test_f1,train_time
ExtraTrees,0.7644005245163015,0.6450458087991505,233.6s
LightGBM,0.7629,0.6862,N/A (cached)
XGBoost,0.7622901756799153,0.635552392304647,13.8s
Random Forest,0.7616787391245291,0.6660770300733848,436.4s
HistGradientBoosting,0.7398204407419291,0.6420259932924375,84.5s
