model,source,train_auc,val_auc,test_auc,train_test_gap,train_f1,val_f1,test_f1,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,test_tn,test_fp,test_fn,test_tp,model_id
ExtraTrees,Mac,0.8970881551236974,0.8106001826040475,0.7750696748796054,13.601615353762769,0.80582646425503,0.7496738109933234,0.6702133199799699,0.7607876876502326,0.7017660077385164,0.5941712954413081,0.8565334056778332,0.8046019669697532,0.768575602495429,208714,114270,50376,167302,Mac ExtraTrees
XGBoost,Colab,0.8900805079754253,0.8288699251751326,0.7690696686627134,13.59549369168445,0.7917161572565945,0.7421961803511371,0.6403680180603073,0.7799249663108374,0.736430683478911,0.6101737932870939,0.8038693481257457,0.748052665420948,0.6737061163737263,229292,93692,71027,146651,Colab XGBoost
LightGBM,Colab,0.8765369149702302,0.8112031273843128,0.7565931683979857,13.683821471035037,0.7912041997901167,0.7779447562983062,0.6801703484868528,0.7371530744539417,0.6908182469676573,0.5667385141051626,0.8538090238937452,0.8902199571046965,0.8503707310798518,181473,141511,32571,185107,Colab LightGBM
XGBoost,Mac,0.8756913470152277,0.8114115129369884,0.7552776742355739,13.750698027344999,0.7902923055862836,0.777323284518868,0.6775934661092322,0.736892544558987,0.6913387732057159,0.5670265803864044,0.8520360741773122,0.8877342735201336,0.841724933158151,183076,139908,34453,183225,Mac XGBoost
LightGBM,Mac,0.8761141798326503,0.8108453346284893,0.754087855950904,13.928130224425194,0.7906328267382972,0.777152498898143,0.6730331342026512,0.7370338931267454,0.6918289405441086,0.5661560936461559,0.8526388388707762,0.8864828008820724,0.8296520548700373,184593,138391,37081,180597,Mac LightGBM
