Objective,Weights_ET,Weights_XGB,Weights_LGB,Test_AUC,Test_F1,Test_Precision,Test_Recall,Gap
AUC_only,0.0,1.0,0.0,0.7690696686627134,0.6403680180603073,0.6101737932870939,0.6737061163737263,13.59549369168445
F1_only,0.0,0.0,1.0,0.7565931683979857,0.6801703484868528,0.5667385141051626,0.8503707310798518,13.683821471035037
AUC_F1_balanced,0.0,0.6000000000000001,0.3999999999999999,0.76309622170711,0.6674276118637805,0.5764830912062241,0.7924411286395502,13.601917254113834
AUC_F1_Precision,0.0,0.9,0.09999999999999998,0.770207369576745,0.6559927149343845,0.5991545957934874,0.724744806549123,13.352892354877724
AUC_F1_Recall,0.0,0.0,1.0,0.7565931683979857,0.6801703484868528,0.5667385141051626,0.8503707310798518,13.683821471035037
Composite,0.0,0.0,1.0,0.7565931683979857,0.6801703484868528,0.5667385141051626,0.8503707310798518,13.683821471035037
