Model,Val_ROC_AUC,Val_PR_AUC,Val_F1,Test_ROC_AUC,Test_PR_AUC,Test_F1
naive_baseline,0.5,0.509430277702852,0.0,0.5,0.42731303586419217,0.0
logistic_regression,0.6251385618083971,0.6089987761651114,0.6394665310209986,0.5832643904179078,0.4938215494884985,0.554845035440748
lightgbm,0.6491811365207959,0.6160862098495571,0.09397464456858733,0.5936040561941058,0.48376512789241055,0.07184143155005411
