Model,Train_AUC,Val_AUC,Test_AUC
LightGBM v2,0.7351991676953239,0.6595830167653086,0.6106650346419671
XGBoost,0.7307837852280953,0.6577931211848543,0.6098299031493244
Ensemble,0.734323033688039,0.6593369737005307,0.6106829520599232
